file,concept,count
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Gonzalo Ulloa,2
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Liliana Caballero,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Cisco,10
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Hugo,5
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,InterRed,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Colciencias,43
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Ángela Restrepo,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,ETB,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Clemencia Tellez,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Clemencia,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,DIAN,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Universidad Nacional,7
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Fernando Chaparro,3
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Manuel Patarroyo,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Manuel Elkin Patarroyo,2
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Uniandes,9
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Hugo Sin,5
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Univalle,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Clemente,5
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,José Luis,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Pablo Leyva,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Gonzalo,3
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Eudoro Becerra,2
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Antonio,2
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,EAFIT,2
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Daisy Urrego,2
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Colnodo,3
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,BitNet,5
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Telecom,3
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Clemente Forero,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,ICFES,8
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Armando Montenegro,2
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Juan Luis Londoño,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Juan Londoño,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,RUNCOL,10
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,IBM,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Luis Pérez,4
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Jaime Vélez,4
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,COLDAPAQ,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Gonzalo Romero,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Trujillo,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,El comunicador,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Javier Villaveces,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Jaime Tabares,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,Luis Carlos Arboleda,1
Copia de Copia Trint 2_parte_Historia_del_Internet_en_Colombia_Entrevista_Dr_Jaime_Tabares_20240221_093534_Meeting_Recording.docx.txt,CETCOL,3
