file,concept,count
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,Internet,95
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,universidades,46
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,la universidad,87
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,los Andes,31
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,EAFIT,2
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,la universidad del Valle,1
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,UIS,1
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,Colciencias,24
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,ICFES,1
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,redes,34
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,National Science Foundation,10
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,formación,23
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,Telecomunicaciones,1
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,equipo,17
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,ingeniero de sistemas,1
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,bases de datos,5
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,comunicaciones,13
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,computadores,9
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,Centro de Cómputo,7
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,tele,4
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,,6
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,red de datos,3
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,Biblioteca Luis Ángel Arango,7
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,sistema,5
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,módem,4
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,materialidad,7
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,IBM,14
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,Telecom,17
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,Bitnet,40
Copia de Entrevista Hugo Sim Uniandes Historia del Internet en Colombia_2023-09-19. Transcripción 1.docx,Runcol,1
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,ISP,12
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Internet Society,3
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Hugo,14
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Jerry,11
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,IMPSAT,5
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Stanford,14
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Colciencias,22
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,ICFES,6
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Univalle,21
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,red,49
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Telecom,16
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Universidad del Valle,12
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Confederación Suiza,1
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Escuela Politécnica,1
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Pablo Escobar,5
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Bitnet,7
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Uniandes,18
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,CINTEL,2
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Windows,6
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Microsoft,3
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Unix,3
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Antonio Restrepo,3
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,EAFIT,1
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,fibra optica,13
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,los Andes,6
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Inter,3
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,,8
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Gonzalo Romero,7
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,nodo,9
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,La Hemeroteca  Nacional,1
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Universidad Nacional,1
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,INET,5
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Maria Emilia Correa,2
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx, Forero,5
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Clemente,5
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Observatorio  Sismológico del Suroccidente,1
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,modem,3
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,National Science Foundation,5
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,banda ancha,11
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Icesi,28
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,RUAV,3
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,la Universidad Javeriana,1
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,RFP,1
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Adobe,2
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,ITEC,4
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,SENA,4
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,ABET,3
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,Internet.Society,1
Copia de Entrevista Uniandes Historia del Internet en Colombia_Gonzalo Ulloa_2023-10-05.docx,la Nacional Science  Foundation,1
