concept,count
Internet,119
universidades,46
la universidad,87
los Andes,37
EAFIT,5
la universidad del Valle,1
UIS,1
Colciencias,54
ICFES,13
redes,37
National Science Foundation,17
formación,23
Telecomunicaciones,1
equipo,17
ingeniero de sistemas,3
bases de datos,7
comunicaciones,18
computadores,10
Centro de Cómputo,58
tele,4
,28
red de datos,5
Biblioteca Luis Ángel Arango,8
sistema,5
módem,5
materialidad,7
IBM,21
Telecom,55
Bitnet,47
Runcol,1
ISP,12
Internet Society,3
Hugo,43
Jerry,11
IMPSAT,8
Stanford,14
Univalle,27
red,54
Universidad del Valle,13
Confederación Suiza,1
Escuela Politécnica,1
Pablo Escobar,5
Uniandes,124
CINTEL,2
Windows,6
Microsoft,4
Unix,6
Antonio Restrepo,3
fibra optica,13
Inter,3
Gonzalo Romero,15
nodo,9
La Hemeroteca  Nacional,1
Universidad Nacional,3
INET,5
Maria Emilia Correa,2
 Forero,5
Clemente,5
Observatorio  Sismológico del Suroccidente,1
modem,3
banda ancha,11
Icesi,28
RUAV,3
la Universidad Javeriana,1
RFP,1
Adobe,2
ITEC,8
SENA,4
ABET,3
Internet.Society,1
la Nacional Science  Foundation,1
Internet. Society,1
Centro de cómputo,5
webscraping,1
Fernando Salcedo,15
Hugo Sin,24
Mauricio Pinilla,12
Ingeniería de Sistemas,2
ingeniera,1
telecomunicaciones,2
conexiones,2
internet,15
aplicaciones administrativas,1
mainframes,1
Unisys,13
galpón,5
software,3
aplicaciones,2
BitNet,6
email,2
Iván Trujillo,1
Martica,1
web,6
Gopher,4
STP,1
SMTP,2
Gonzalo Tomero,1
página web,15
webmaster,5
manejo del servidor,2
configuración,1
servidor HTTP,2
archivos de configuración,1
páginas web,18
código,1
HTML,6
índice de páginas,1
páginas web planas,1
WAIS,1
sitio web,3
Paint,2
Office,1
producir,1
contenido,2
herramienta,2
dictar clases de cómo construir las páginas,1
construir herramientas,1
galpón por internet,1
programar la conexión,1
UNIX,6
programas,2
C,2
sockets,1
servicio,1
Carlos Varela,3
Asociación Colombiana de Ingenieros de Sistemas,1
multimedia,2
videos,1
animaciones,1
juegos,1
audio,2
video,3
animación,2
vender,1
Casa Editorial El Tiempo,2
comunidad,1
Facultad de Arquitectura,1
Pablo Franciso Arrieta,1
Photoshop,3
Mauricio Barreto,3
herramientas gráficas,1
Illustrator,1
construir,4
botones,1
letreros,1
Francisco Martínez,2
comandos,1
Pablo Francisco Arrieta,2
herramientas de Adobe,1
fotos,1
mapa sensible,1
mapa virtual,1
página  web,1
Erika Mancilla,3
María Clara,2
María Alejandra Godoy,1
administrador web,1
versión,1
STI,1
Aldemar,1
Flavio Arciniegas,1
Javier Varela,1
Ingrid Correa,1
Alejandro Flores,1
Anita,1
FTP,3
Gonzalo Ulloa,6
HTTP,1
Diego Londoño,3
buscar,1
grupos de información,1
preguntaba,1
miraba,1
copiaba,1
source,1
Página web,1
El Tiempo,18
tráfico,2
Ricardo Pombo Gaviria,1
Miguel,1
manejaban,1
información,3
fuente de información,1
medios digitales,1
servicios web,1
Ricardo Pombo,1
nuevos medios,1
Enrique Santos Calderón,1
ciudad virtual,1
Social Media,1
ciudad digital,3
encontrara,1
chats,1
Eureka,1
Julio César Guzmán,2
fallas técnicas,1
testing,1
Banco de la República,7
procesos web,1
dictar,1
construcción,2
enseñar,2
María Clara¨Pavón,1
enseñaba,1
URL,1
administrador,1
dominio,9
solicitar,1
registrabas,1
servidor,3
conectabas,1
montar,1
enrutara,1
servidor DNS,1
Nova Red,3
servicios,4
seguridad,2
diseño,1
bancos,3
Netscape,5
servidores,1
Hermes,11
ingenieros de sistemas,1
C++,1
tecnología,2
DotNet,1
programación,1
algoritmos,1
compilado,1
Mackintosh,1
Apple,1
Erica,1
CiNet,1
