Nombre,Institución perteneciente,conteo persona,conteo institución
Gonzalo Ulloa,Univalle,18,49
Liliana Caballero*,Secretaría General de Bogotá,1,
Hugo Sin Triana,Uniandes,92,199
Ángela Restrepo,Universidad Nacional sede Medellín,2,3
Clemencia Téllez,Colciencias,2,166
Clemencia Téllez,DIAN,2,1
Pablo Leyva*,Universidad Nacional de Colombia,1,21
Eudoro Becerra,Colciencias,10,166
Armando Montenegro,Departamento de Planeación Nacional,6,
Juan Luis Londoño,Departamento de Planeación Nacional,3,
Luis Pérez,ICFES,5,30
Jaime Vélez,ICFES,5,30
Gonzalo Romero*,Universidad Nacional de Colombia,17,21
Iván Trujillo,Uniandes,1,199
José Luis Villaveces,Uniandes,12,199
José Luis Villaveces,Colciencias,12,166
Jaime Tabares,Universidad Nacional sede Medellín,19,3
Jaime Tabares,Colciencias,19,166
Luis Carlos Arboleda,Colciencias,4,166
Luis Carlos Arboleda,CETCOL,4,5
Jesús Ferro,Universidad del Norte,1,2
Cecilia María Vélez,Secretaría de Educación de Bogotá,2,
Montoya?,Colciencias,1,166
Mauricio Pinilla,Uniandes,14,199
Carlos Varela*,Uniandes,3,199
Pablo Francisco Arrieta,Uniandes,3,199
Mauricio Barreto,Uniandes,3,199
Francisco Martínez,Uniandes,2,199
Erika Mancilla,Uniandes,3,199
María Clara Pabón,Uniandes,1,199
María Clara Pabón,Banco de la República,1,7
María Alejandra Godoy,Uniandes,1,199
Flavio Arciniegas,Uniandes,1,199
Javier Varela,Uniandes,1,199
Ingrid Correa,Uniandes,1,199
Alejandro Flores,Uniandes,1,199
Aldemar,Uniandes,1,199
Anita,Uniandes,1,199
Diego Londoño,Uniandes,3,199
Ricardo Pombo Gaviria,Casa Editorial El Tiempo,2,15
Miguel*- webmaster el tiempo?,Casa Editorial El Tiempo,1,15
Jorge Giraldo,Uniandes,2,199
Darío Valencia Restrepo,Universidad Nacional sede Medellín,1,3
Luis Guillermo Sanín,EAFIT,1,22
Steve Goldstein,National Science Foundation,2,23
Blanca Riascos,Red Caldas,1,7
María Emilia Correa,Red Caldas,3,7
Carlos Gaviria,Corte Constitucional,1,
ministro de agricultura,Consejo Nacional de Ciencia y Tecnología,1,4
ministro de Comercio Exterior,Consejo Nacional de Ciencia y Tecnología,1,4
Ministro de Desarrollo,Consejo Nacional de Ciencia y Tecnología,1,4
rector de la Nacional,Consejo Nacional de Ciencia y Tecnología,1,4
rector de uniandes,Consejo Nacional de Ciencia y Tecnología,1,4
Enrique Carulla,Consejo Nacional de Ciencia y Tecnología,2,4
José Antonio Ocampo,Ministerio de Agricultura,2,
José Antonio Ocampo,Consejo Nacional de Ciencia y Tecnología,2,4
Juan Pablo Pasos,Cisco Systems,1,17
Juan Pablo Pasos,InterRed,1,10
Jaime Roldán,Red Computadores,1,1
Gustavo Rueda,InterRed,4,10
"Delgado, Almirante de la Armada Nacional",Armada Nacional,,1
Al Gore,Vicepresidencia de Estados Unidos,2,
Rudolf Hommes,Ministerio de Hacienda,1,
María Clara Echeverría,Colciencias,1,166
Jaime de Jesús Niño,Colciencias,1,166
Sandra Morales,Secretaría de Educación de Bogotá,2,
Sandra Morales,Red P,2,3
Luz Stella García,Secretaría de Educación de Bogotá,1,
Luz Stella García,Red P,1,3
Orlando Cuevas,Uniandes,1,199
Javier Caicedo,Uniandes,1,199
Mauricio Arango,Uniandes,2,199
Álvaro Galvis,Uniandes,2,199
Carl Langebaek,Uniandes,1,199
Bernardo Gómez,Uniandes,8,199
María Clara Arboleda,Uniandes,1,199
Luz Adriana Osorio,Uniandes,10,199
Pepe Toro,Uniandes,1,199
Pedro Gómez*,Uniandes,1,199
Navas,Uniandes,2,199
Mauricio/Manuel Rodríguez,Uniandes,1,199
Francisco Rueda,Uniandes,1,199
Germán ,SENA,4,3
Margarita Peña,ICFES,5,30
Piedad Caballero,Secretaría de Educación de Cundinamarca,1,
Myriam Luisa Díaz (Milú),Uniandes,1,199
José Tiberio Hernández,Uniandes,1,199
Rubí Casallas,Uniandes,1,199
Jorge Villalobos,Uniandes,1,199
Rafael Gómez,Uniandes,7,199
Alejandro Rico,Uniandes,4,199
Pedro Villegas,Grupo Aval,3,4
Roberto Soto Prieto?,Banco de la República,3,7
Isaías Poveda,Telecom,5,62
Hernán Porras Díaz,Universidad Industrial de Santander,1,2
Carlos Ardila Arenas,Uniandes,1,199
Roberto Arbeláez,Uniandes,3,199
Mauricio Briceño,Uniandes,1,199
Fernando Rivera,CERN,10,2
Fernando Rivera,BITNET,10,78
Gabriel Misas,Misión de Ciencia y Tecnología 1988,1,
Eduardo Sánchez,Telecom,1,62
Eduardo Sánchez,Politécnico de la USANA,1,1
Jerry de Raad,Politécnico de la USANA,10,1
Sarama?,Uniandes,1,199
Arturo Infante,Uniandes,1,199
Claudia Sastre,Uniandes,4,199
Claudia Sastre,Uniandes,4,199
Olga Mariño,Uniandes,,199
